pair,generator_norm_sum,decoded_bch_error,bch_gain_over_additive,epsilon
AHR+KLF1,15.724483,0.53810275,0.58232355,0.22690898180007935
BAK1+BCL2L11,8.766054,0.16234286,0.29482794,0.05352988839149475
BAK1+KLF1,9.771392,0.27004457,0.19044235,0.10144001990556717
BCL2L11+TGFBR2,7.1459465,0.22488868,0.0327729,0.06641627848148346
BPGM+SAMD1,13.382453,0.18743773,1.0071353,0.05459383502602577
BPGM+ZBTB1,11.375492,0.22176592,0.67287815,0.06470755487680435
C3ORF72+FOXL2,10.599819,0.10215253,0.80680895,0.03679577261209488
CBFA2T3+FEV,8.544607,0.18173476,0.39149523,0.05098976567387581
CBFA2T3+POU3F2,9.100576,0.20499827,0.44281697,0.05310043692588806
CBL+CNN1,11.704953,0.20811373,0.70181894,0.07259716838598251
CBL+PTPN12,8.939094,0.06500403,0.5732284,0.021250441670417786
CBL+PTPN9,10.154223,0.17337869,0.58137864,0.05545126274228096
CBL+TGFBR2,7.8646603,0.23812367,0.13513924,0.06863987445831299
CBL+UBASH3A,10.109449,0.13965616,0.7284038,0.04449590668082237
CBL+UBASH3B,9.579365,0.17588116,0.5268132,0.05232164263725281
CDKN1A+CDKN1B,10.568312,0.042526122,0.8695303,0.013908150605857372
CDKN1A+CDKN1C,10.525183,0.06448456,0.84668654,0.020722771063447
CDKN1B+CDKN1C,10.654402,0.06305132,0.8758151,0.016599033027887344
CEBPA+CEBPB,24.582882,0.25122857,4.4954367,0.07961099594831467
CEBPA+CEBPE,25.040005,0.6713322,4.3692837,0.18796180188655853
CEBPA+JUN,23.033142,0.98820335,2.070753,0.3941466808319092
CEBPA+ZC3HAV1,18.113667,0.9402295,-0.2858305,0.28004902601242065
CEBPB+CEBPE,20.505623,0.3997804,2.9809341,0.11603223532438278
CEBPB+FOSB,18.38573,0.3634835,2.211975,0.14740118384361267
CEBPB+JUN,18.49876,0.61324626,1.5359771,0.2525911331176758
CEBPB+LYL1,14.955915,0.67223275,0.35699117,0.21559107303619385
CEBPB+MAPK1,16.365444,0.46385816,1.0814027,0.1973898857831955
CEBPB+OSR2,14.06061,0.39797658,0.73101145,0.11649169772863388
CEBPB+PTPN12,14.159941,0.3792096,0.7371446,0.11827639490365982
CEBPE+ETS2,17.949238,0.5424307,1.445097,0.1844092607498169
CEBPE+KLF1,15.571401,0.60885674,0.3165071,0.2225692719221115
CEBPE+PTPN12,14.617064,0.39827335,0.67590034,0.12312795966863632
CEBPE+SET,15.666613,0.40641066,1.0884259,0.12496281415224075
CEBPE+SPI1,15.688374,0.3699836,1.1525702,0.12301186472177505
CEBPE+ZC3HAV1,14.036409,0.68442535,-0.2639124,0.19525277614593506
CNN1+UBASH3B,11.677511,0.33644205,0.6186575,0.09714467078447342
COL2A1+KLF1,10.404743,0.33155233,0.2591831,0.12167015671730042
DLX2+ZBTB10,14.777836,0.50105095,0.9354893,0.162088543176651
DUSP9+ETS2,11.41664,0.23588808,0.59156126,0.09110408276319504
DUSP9+IGDCC3,11.861855,0.2320787,0.61153674,0.08849919587373734
DUSP9+KLF1,9.038803,0.22195853,0.2526757,0.08226852118968964
DUSP9+MAPK1,10.289969,0.27525905,0.31652966,0.10561000555753708
DUSP9+PRTG,11.507551,0.26655394,0.5601564,0.08777687698602676
DUSP9+SNAI1,11.195572,0.266154,0.53998,0.07961773127317429
ELMSAN1+MAP2K3,9.799166,0.34971026,0.09517768,0.11540985852479935
ELMSAN1+MAP2K6,9.050633,0.23881508,0.110386506,0.09286714345216751
ELMSAN1+ZBTB10,11.172769,0.31264904,0.22610036,0.11795046925544739
ETS2+MAP7D1,11.558549,0.17616186,0.5911974,0.09721112996339798
FEV+ISL2,9.970242,0.052306186,0.7656423,0.018629534170031548
FEV+MAP7D1,9.105938,0.08885227,0.5623774,0.02825414575636387
FOSB+PTPN12,12.497171,0.2626193,0.61473775,0.11234036833047867
FOSB+UBASH3B,13.137442,0.41722357,0.3786146,0.18757569789886475
FOXA1+FOXL2,16.54824,0.24224263,1.8305438,0.09299910068511963
FOXA3+FOXF1,17.66806,0.3912806,1.856566,0.11521769315004349
FOXA3+FOXL2,16.949684,0.24330576,1.9012121,0.0871000736951828
FOXF1+FOXL2,12.943802,0.23648508,0.9649562,0.07888392359018326
FOXL2+HOXB9,14.701461,0.2740685,1.4143971,0.08136198669672012
FOXL2+MEIS1,12.081439,0.23716109,0.870817,0.08015364408493042
FOXL2+POU3F2,11.683935,0.08104283,1.0402995,0.03345220535993576
FOXL2+ZNF318,11.936554,0.26008046,0.57181734,0.09643363952636719
IKZF3+MAP2K3,14.49531,0.6698384,-0.01538229,0.20116941630840302
IRF1+SET,14.503431,0.4997276,0.68183315,0.1727869063615799
KLF1+SET,10.275267,0.29516202,0.32655907,0.11087551712989807
MAP2K6+SPI1,8.366876,0.22303152,0.120842606,0.07595153898000717
OSR2+PTPN12,8.17205,0.07576117,0.4620206,0.021279213950037956
PLK4+STIL,10.215513,0.14385131,0.60608816,0.0459652878344059
PTPN12+PTPN9,9.486511,0.10782851,0.55378854,0.03449254855513573
PTPN12+SAMD1,13.9896145,0.290103,1.0465894,0.0861588567495346
PTPN12+SNAI1,11.382486,0.2967746,0.4753485,0.08582370728254318
PTPN12+UBASH3A,9.441737,0.13578813,0.57896215,0.046536076813936234
PTPN12+UBASH3B,8.911652,0.15676093,0.43749171,0.04961920902132988
PTPN12+ZBTB10,9.417702,0.09475632,0.6081232,0.027081646025180817
PTPN12+ZBTB25,9.489069,0.09518597,0.6173355,0.02819182723760605
PTPN9+UBASH3B,10.126781,0.188151,0.59250647,0.06535805761814117
RHOXF2+SET,11.806075,0.12087721,0.9684699,0.04192015156149864
RHOXF2+ZBTB25,11.974215,0.1372699,1.0109715,0.04693136736750603
SAMD1+TGFBR2,12.915181,0.51439875,0.21960843,0.15443864464759827
SNAI1+ZBTB10,12.528807,0.35639226,0.843812,0.10095398128032684
UBASH3B+ZBTB25,10.129339,0.22014305,0.5554354,0.07169989496469498
