method,metric,value,seed
OpPert,top_DE_Pearson,0.5336961407120887,0
OpPert,top_DE_Pearson,0.5438357840886607,1
OpPert,top_DE_Pearson,0.5626358810588926,2
OpPert,top_DE_Pearson,0.6299285308905704,3
OpPert,top_DE_Pearson,0.470025389970455,4
nearest-neighbor,top_DE_Pearson,0.4838290791366375,0
nearest-neighbor,top_DE_Pearson,0.31439210469343115,1
nearest-neighbor,top_DE_Pearson,0.509685557440866,2
nearest-neighbor,top_DE_Pearson,0.33785653297314217,3
nearest-neighbor,top_DE_Pearson,0.5618197319017395,4
descriptor-only,top_DE_Pearson,0.3805116085261423,0
descriptor-only,top_DE_Pearson,0.46451915303865177,1
descriptor-only,top_DE_Pearson,0.45420780117054327,2
descriptor-only,top_DE_Pearson,0.3781755454347796,3
descriptor-only,top_DE_Pearson,0.38201253909061994,4
linear,top_DE_Pearson,0.3381420518433862,0
linear,top_DE_Pearson,0.41936850832221445,1
linear,top_DE_Pearson,0.3588265947890766,2
linear,top_DE_Pearson,0.3390508235974633,3
linear,top_DE_Pearson,0.40686380059780763,4
