pair,gene_p,gene_q,epsilon,raw_bracket_norm,additive_delta_norm,measured_epistasis
AHR+KLF1,AHR,KLF1,0.22690898180007935,0.22690898180007935,13.708532,13.892037
BAK1+BCL2L11,BAK1,BCL2L11,0.05352988839149475,0.05352988839149475,8.126368,9.35917
BAK1+KLF1,BAK1,KLF1,0.10144001990556717,0.10144001990556717,8.037315,7.9201565
BCL2L11+TGFBR2,BCL2L11,TGFBR2,0.06641627848148346,0.06641627848148346,6.3423047,7.881536
BPGM+SAMD1,BPGM,SAMD1,0.05459383502602577,0.05459383502602577,13.179652,14.703601
BPGM+ZBTB1,BPGM,ZBTB1,0.06470755487680435,0.06470755487680435,11.023335,12.123426
C3ORF72+FOXL2,C3ORF72,FOXL2,0.03679577261209488,0.03679577261209488,10.437127,8.825201
CBFA2T3+FEV,CBFA2T3,FEV,0.05098976567387581,0.05098976567387581,8.249815,8.248923
CBFA2T3+POU3F2,CBFA2T3,POU3F2,0.05310043692588806,0.05310043692588806,8.77783,8.406657
CBL+CNN1,CBL,CNN1,0.07259716838598251,0.07259716838598251,10.815149,10.776508
CBL+PTPN12,CBL,PTPN12,0.021250441670417786,0.021250441670417786,8.867854,10.17763
CBL+PTPN9,CBL,PTPN9,0.05545126274228096,0.05545126274228096,9.786455,10.076237
CBL+TGFBR2,CBL,TGFBR2,0.06863987445831299,0.06863987445831299,7.2603545,8.153542
CBL+UBASH3A,CBL,UBASH3A,0.04449590668082237,0.04449590668082237,9.987389,10.522091
CBL+UBASH3B,CBL,UBASH3B,0.05232164263725281,0.05232164263725281,9.203505,8.917104
CDKN1A+CDKN1B,CDKN1A,CDKN1B,0.013908150605857372,0.013908150605857372,10.556488,10.789995
CDKN1A+CDKN1C,CDKN1A,CDKN1C,0.020722771063447,0.020722771063447,10.489547,10.310867
CDKN1B+CDKN1C,CDKN1B,CDKN1C,0.016599033027887344,0.016599033027887344,10.635344,11.179358
CEBPA+CEBPB,CEBPA,CEBPB,0.07961099594831467,0.07961099594831467,24.502466,23.718266
CEBPA+CEBPE,CEBPA,CEBPE,0.18796180188655853,0.18796180188655853,24.889585,23.519466
CEBPA+JUN,CEBPA,JUN,0.3941466808319092,0.3941466808319092,21.226933,19.655832
CEBPA+ZC3HAV1,CEBPA,ZC3HAV1,0.28004902601242065,0.28004902601242065,14.862168,14.563843
CEBPB+CEBPE,CEBPB,CEBPE,0.11603223532438278,0.11603223532438278,20.349651,18.412868
CEBPB+FOSB,CEBPB,FOSB,0.14740118384361267,0.14740118384361267,17.97898,16.564178
CEBPB+JUN,CEBPB,JUN,0.2525911331176758,0.2525911331176758,17.288961,14.69095
CEBPB+LYL1,CEBPB,LYL1,0.21559107303619385,0.21559107303619385,13.132197,13.494778
CEBPB+MAPK1,CEBPB,MAPK1,0.1973898857831955,0.1973898857831955,15.19651,14.096841
CEBPB+OSR2,CEBPB,OSR2,0.11649169772863388,0.11649169772863388,13.301595,11.152985
CEBPB+PTPN12,CEBPB,PTPN12,0.11827639490365982,0.11827639490365982,13.311563,13.755067
CEBPE+ETS2,CEBPE,ETS2,0.1844092607498169,0.1844092607498169,16.55405,16.774807
CEBPE+KLF1,CEBPE,KLF1,0.2225692719221115,0.2225692719221115,12.683256,13.612081
CEBPE+PTPN12,CEBPE,PTPN12,0.12312795966863632,0.12312795966863632,13.4351015,14.377879
CEBPE+SET,CEBPE,SET,0.12496281415224075,0.12496281415224075,14.730023,15.081935
CEBPE+SPI1,CEBPE,SPI1,0.12301186472177505,0.12301186472177505,14.805348,12.544088
CEBPE+ZC3HAV1,CEBPE,ZC3HAV1,0.19525277614593506,0.19525277614593506,10.936444,12.192591
CNN1+UBASH3B,CNN1,UBASH3B,0.09714467078447342,0.09714467078447342,10.967189,11.352433
COL2A1+KLF1,COL2A1,KLF1,0.12167015671730042,0.12167015671730042,8.568389,8.595892
DLX2+ZBTB10,DLX2,ZBTB10,0.162088543176651,0.162088543176651,13.398955,9.56482
DUSP9+ETS2,DUSP9,ETS2,0.09110408276319504,0.09110408276319504,10.810716,11.409585
DUSP9+IGDCC3,DUSP9,IGDCC3,0.08849919587373734,0.08849919587373734,10.960547,10.962761
DUSP9+KLF1,DUSP9,KLF1,0.08226852118968964,0.08226852118968964,7.892895,6.976338
DUSP9+MAPK1,DUSP9,MAPK1,0.10561000555753708,0.10561000555753708,9.461464,10.705114
DUSP9+PRTG,DUSP9,PRTG,0.08777687698602676,0.08777687698602676,10.7225895,10.395753
DUSP9+SNAI1,DUSP9,SNAI1,0.07961773127317429,0.07961773127317429,10.628654,8.094265
ELMSAN1+MAP2K3,ELMSAN1,MAP2K3,0.11540985852479935,0.11540985852479935,8.1969,8.348534
ELMSAN1+MAP2K6,ELMSAN1,MAP2K6,0.09286714345216751,0.09286714345216751,7.708605,7.7907567
ELMSAN1+ZBTB10,ELMSAN1,ZBTB10,0.11795046925544739,0.11795046925544739,9.334739,8.132389
ETS2+MAP7D1,ETS2,MAP7D1,0.09721112996339798,0.09721112996339798,10.930662,11.749134
FEV+ISL2,FEV,ISL2,0.018629534170031548,0.018629534170031548,9.919162,10.76942
FEV+MAP7D1,FEV,MAP7D1,0.02825414575636387,0.02825414575636387,8.960442,10.401684
FOSB+PTPN12,FOSB,PTPN12,0.11234036833047867,0.11234036833047867,11.62081,12.603362
FOSB+UBASH3B,FOSB,UBASH3B,0.18757569789886475,0.18757569789886475,11.263606,11.99053
FOXA1+FOXL2,FOXA1,FOXL2,0.09299910068511963,0.09299910068511963,16.369244,15.015958
FOXA3+FOXF1,FOXA3,FOXF1,0.11521769315004349,0.11521769315004349,17.374243,16.471842
FOXA3+FOXL2,FOXA3,FOXL2,0.0871000736951828,0.0871000736951828,16.771431,14.364248
FOXF1+FOXL2,FOXF1,FOXL2,0.07888392359018326,0.07888392359018326,12.623694,10.136279
FOXL2+HOXB9,FOXL2,HOXB9,0.08136198669672012,0.08136198669672012,14.458635,12.109819
FOXL2+MEIS1,FOXL2,MEIS1,0.08015364408493042,0.08015364408493042,11.6770735,10.22754
FOXL2+POU3F2,FOXL2,POU3F2,0.03345220535993576,0.03345220535993576,11.612338,9.717973
FOXL2+ZNF318,FOXL2,ZNF318,0.09643363952636719,0.09643363952636719,10.735413,10.205536
IKZF3+MAP2K3,IKZF3,MAP2K3,0.20116941630840302,0.20116941630840302,10.52965,11.73236
IRF1+SET,IRF1,SET,0.1727869063615799,0.1727869063615799,13.018693,11.384036
KLF1+SET,KLF1,SET,0.11087551712989807,0.11087551712989807,8.777133,8.361926
MAP2K6+SPI1,MAP2K6,SPI1,0.07595153898000717,0.07595153898000717,5.7410536,6.4453793
OSR2+PTPN12,OSR2,PTPN12,0.021279213950037956,0.021279213950037956,8.069857,8.843962
PLK4+STIL,PLK4,STIL,0.0459652878344059,0.0459652878344059,10.103505,8.61087
PTPN12+PTPN9,PTPN12,PTPN9,0.03449254855513573,0.03449254855513573,9.328389,10.130032
PTPN12+SAMD1,PTPN12,SAMD1,0.0861588567495346,0.0861588567495346,13.704249,14.131572
PTPN12+SNAI1,PTPN12,SNAI1,0.08582370728254318,0.08582370728254318,10.542946,10.622931
PTPN12+UBASH3A,PTPN12,UBASH3A,0.046536076813936234,0.046536076813936234,9.274034,9.756464
PTPN12+UBASH3B,PTPN12,UBASH3B,0.04961920902132988,0.04961920902132988,8.582043,8.975191
PTPN12+ZBTB10,PTPN12,ZBTB10,0.027081646025180817,0.027081646025180817,9.244294,7.6933584
PTPN12+ZBTB25,PTPN12,ZBTB25,0.02819182723760605,0.02819182723760605,9.322068,10.462493
PTPN9+UBASH3B,PTPN9,UBASH3B,0.06535805761814117,0.06535805761814117,9.825118,10.170443
RHOXF2+SET,RHOXF2,SET,0.04192015156149864,0.04192015156149864,11.709529,10.787635
RHOXF2+ZBTB25,RHOXF2,ZBTB25,0.04693136736750603,0.04693136736750603,11.85231,11.506415
SAMD1+TGFBR2,SAMD1,TGFBR2,0.15443864464759827,0.15443864464759827,12.015905,12.340731
SNAI1+ZBTB10,SNAI1,ZBTB10,0.10095398128032684,0.10095398128032684,11.780508,8.113111
UBASH3B+ZBTB25,UBASH3B,ZBTB25,0.07169989496469498,0.07169989496469498,9.479065,10.285145
