fraction,method,value,seed
0.1,OpPert,0.4435223184169017,0
0.1,OpPert,0.3559074184919181,1
0.1,OpPert,0.3552622535852414,2
0.1,OpPert,0.4772715899850157,3
0.1,additive,0.2626352272556088,0
0.1,additive,0.22550374646187069,1
0.1,additive,0.24085436769108154,2
0.1,additive,0.3006189857324886,3
0.1,GEARS,0.3320980925414601,0
0.1,GEARS,0.374665025687362,1
0.1,GEARS,0.32585090549013984,2
0.1,GEARS,0.29523199490463914,3
0.1,linear,0.3819752065288529,0
0.1,linear,0.340927596451559,1
0.1,linear,0.3116499655504753,2
0.1,linear,0.30414553113273557,3
0.25,OpPert,0.5360960147630094,0
0.25,OpPert,0.5011612018211491,1
0.25,OpPert,0.5233725212654304,2
0.25,OpPert,0.454152292900432,3
0.25,additive,0.33952666160718314,0
0.25,additive,0.3535879566398613,1
0.25,additive,0.31549723562744636,2
0.25,additive,0.3336787156398544,3
0.25,GEARS,0.39415558640467,0
0.25,GEARS,0.43346236790008874,1
0.25,GEARS,0.3646442334459768,2
0.25,GEARS,0.44037880076988234,3
0.25,linear,0.38992852806971645,0
0.25,linear,0.3693676588597071,1
0.25,linear,0.39548068582608337,2
0.25,linear,0.36290238145068093,3
0.5,OpPert,0.5381947703469084,0
0.5,OpPert,0.5867490461915471,1
0.5,OpPert,0.5884805602061748,2
0.5,OpPert,0.5447091904476385,3
0.5,additive,0.40127790831027765,0
0.5,additive,0.4176810606495817,1
0.5,additive,0.40291977388743927,2
0.5,additive,0.4860047643952907,3
0.5,GEARS,0.5176590285677682,0
0.5,GEARS,0.5055840093418886,1
0.5,GEARS,0.4676910010524388,2
0.5,GEARS,0.5345595778814656,3
0.5,linear,0.44053580400222336,0
0.5,linear,0.4388901075567584,1
0.5,linear,0.4959045865230634,2
0.5,linear,0.4804929088396759,3
0.75,OpPert,0.5523620956345776,0
0.75,OpPert,0.6461891694494276,1
0.75,OpPert,0.6575207848219048,2
0.75,OpPert,0.6389161537687535,3
0.75,additive,0.5189145466275922,0
0.75,additive,0.44011247988363955,1
0.75,additive,0.39925917602637095,2
0.75,additive,0.4734812704651891,3
0.75,GEARS,0.603789884870686,0
0.75,GEARS,0.4635017508591643,1
0.75,GEARS,0.5587581573104197,2
0.75,GEARS,0.5155895612320245,3
0.75,linear,0.5427950330987461,0
0.75,linear,0.630815970318234,1
0.75,linear,0.543812960213436,2
0.75,linear,0.5481998861867653,3
1.0,OpPert,0.7735692376315293,0
1.0,OpPert,0.740852262312423,1
1.0,OpPert,0.7314003291924264,2
1.0,OpPert,0.7770658369658001,3
1.0,additive,0.6188754860204722,0
1.0,additive,0.6115450304626581,1
1.0,additive,0.5944487938973013,2
1.0,additive,0.5861574118109174,3
1.0,GEARS,0.7166868354092665,0
1.0,GEARS,0.666541495204833,1
1.0,GEARS,0.7292501151742404,2
1.0,GEARS,0.6381141453484287,3
1.0,linear,0.6973513581802311,0
1.0,linear,0.6588816033235367,1
1.0,linear,0.6012586030779198,2
1.0,linear,0.6603591453820923,3
