perturbation,method,norm
AHR+KLF1,before,47.535064697265625
ARID1A,before,47.535064697265625
BAK1+BCL2L11,before,47.535064697265625
BAK1+KLF1,before,47.535064697265625
BCL2L11,before,47.535064697265625
BCL2L11+TGFBR2,before,47.535064697265625
BCORL1,before,47.535064697265625
BPGM,before,47.535064697265625
BPGM+SAMD1,before,47.535064697265625
BPGM+ZBTB1,before,47.535064697265625
C3ORF72,before,47.535064697265625
C3ORF72+FOXL2,before,47.535064697265625
CBFA2T3+FEV,before,47.535064697265625
CBFA2T3+POU3F2,before,47.535064697265625
CBL,before,47.535064697265625
CBL+CNN1,before,47.535064697265625
CBL+PTPN12,before,47.535064697265625
CBL+PTPN9,before,47.535064697265625
CBL+TGFBR2,before,47.535064697265625
CBL+UBASH3A,before,47.535064697265625
CBL+UBASH3B,before,47.535064697265625
CDKN1A,before,47.535064697265625
CDKN1A+CDKN1B,before,47.535064697265625
CDKN1A+CDKN1C,before,47.535064697265625
CDKN1B,before,47.535064697265625
CDKN1B+CDKN1C,before,47.535064697265625
CDKN1C,before,47.535064697265625
CEBPA+CEBPB,before,47.535064697265625
CEBPA+CEBPE,before,47.535064697265625
CEBPA+JUN,before,47.535064697265625
CEBPA+ZC3HAV1,before,47.535064697265625
CEBPB,before,47.535064697265625
CEBPB+CEBPE,before,47.535064697265625
CEBPB+FOSB,before,47.535064697265625
CEBPB+JUN,before,47.535064697265625
CEBPB+LYL1,before,47.535064697265625
CEBPB+MAPK1,before,47.535064697265625
CEBPB+OSR2,before,47.535064697265625
CEBPB+PTPN12,before,47.535064697265625
CEBPE+ETS2,before,47.535064697265625
CEBPE+KLF1,before,47.535064697265625
CEBPE+PTPN12,before,47.535064697265625
CEBPE+SET,before,47.535064697265625
CEBPE+SPI1,before,47.535064697265625
CEBPE+ZC3HAV1,before,47.535064697265625
CELF2,before,47.535064697265625
CKS1B,before,47.535064697265625
CNN1+UBASH3B,before,47.535064697265625
COL2A1,before,47.535064697265625
COL2A1+KLF1,before,47.535064697265625
DLX2+ZBTB10,before,47.535064697265625
DUSP9,before,47.535064697265625
DUSP9+ETS2,before,47.535064697265625
DUSP9+IGDCC3,before,47.535064697265625
DUSP9+KLF1,before,47.535064697265625
DUSP9+MAPK1,before,47.535064697265625
DUSP9+PRTG,before,47.535064697265625
DUSP9+SNAI1,before,47.535064697265625
EGR1,before,47.535064697265625
ELMSAN1+MAP2K3,before,47.535064697265625
ELMSAN1+MAP2K6,before,47.535064697265625
ELMSAN1+ZBTB10,before,47.535064697265625
ETS2+MAP7D1,before,47.535064697265625
FEV+ISL2,before,47.535064697265625
FEV+MAP7D1,before,47.535064697265625
FOSB+PTPN12,before,47.535064697265625
FOSB+UBASH3B,before,47.535064697265625
FOXA1+FOXL2,before,47.535064697265625
FOXA3+FOXF1,before,47.535064697265625
FOXA3+FOXL2,before,47.535064697265625
FOXF1+FOXL2,before,47.535064697265625
FOXL2,before,47.535064697265625
FOXL2+HOXB9,before,47.535064697265625
FOXL2+MEIS1,before,47.535064697265625
FOXL2+POU3F2,before,47.535064697265625
FOXL2+ZNF318,before,47.535064697265625
IKZF3+MAP2K3,before,47.535064697265625
IRF1+SET,before,47.535064697265625
ISL2,before,47.535064697265625
KLF1+SET,before,47.535064697265625
MAP2K6+SPI1,before,47.535064697265625
MAP7D1,before,47.535064697265625
NCL,before,47.535064697265625
OSR2+PTPN12,before,47.535064697265625
PLK4,before,47.535064697265625
PLK4+STIL,before,47.535064697265625
POU3F2,before,47.535064697265625
PTPN1,before,47.535064697265625
PTPN12,before,47.535064697265625
PTPN12+PTPN9,before,47.535064697265625
PTPN12+SAMD1,before,47.535064697265625
PTPN12+SNAI1,before,47.535064697265625
PTPN12+UBASH3A,before,47.535064697265625
PTPN12+UBASH3B,before,47.535064697265625
PTPN12+ZBTB10,before,47.535064697265625
PTPN12+ZBTB25,before,47.535064697265625
PTPN9+UBASH3B,before,47.535064697265625
RHOXF2,before,47.535064697265625
RHOXF2+SET,before,47.535064697265625
RHOXF2+ZBTB25,before,47.535064697265625
SAMD1+TGFBR2,before,47.535064697265625
SET,before,47.535064697265625
SNAI1+ZBTB10,before,47.535064697265625
SPI1,before,47.535064697265625
UBASH3B+ZBTB25,before,47.535064697265625
AHR+KLF1,operator,47.535064697265625
ARID1A,operator,47.535064697265625
BAK1+BCL2L11,operator,47.53506851196289
BAK1+KLF1,operator,47.53506851196289
BCL2L11,operator,47.535064697265625
BCL2L11+TGFBR2,operator,47.535064697265625
BCORL1,operator,47.53506851196289
BPGM,operator,47.53506851196289
BPGM+SAMD1,operator,47.53506851196289
BPGM+ZBTB1,operator,47.535064697265625
C3ORF72,operator,47.535064697265625
C3ORF72+FOXL2,operator,47.53506851196289
CBFA2T3+FEV,operator,47.535064697265625
CBFA2T3+POU3F2,operator,47.535064697265625
CBL,operator,47.535064697265625
CBL+CNN1,operator,47.535072326660156
CBL+PTPN12,operator,47.53506851196289
CBL+PTPN9,operator,47.53506851196289
CBL+TGFBR2,operator,47.53506851196289
CBL+UBASH3A,operator,47.535064697265625
CBL+UBASH3B,operator,47.53506851196289
CDKN1A,operator,47.535064697265625
CDKN1A+CDKN1B,operator,47.53506851196289
CDKN1A+CDKN1C,operator,47.535064697265625
CDKN1B,operator,47.535064697265625
CDKN1B+CDKN1C,operator,47.535064697265625
CDKN1C,operator,47.53506851196289
CEBPA+CEBPB,operator,47.535064697265625
CEBPA+CEBPE,operator,47.535072326660156
CEBPA+JUN,operator,47.53506851196289
CEBPA+ZC3HAV1,operator,47.535064697265625
CEBPB,operator,47.53506851196289
CEBPB+CEBPE,operator,47.535064697265625
CEBPB+FOSB,operator,47.53506851196289
CEBPB+JUN,operator,47.535064697265625
CEBPB+LYL1,operator,47.535064697265625
CEBPB+MAPK1,operator,47.535064697265625
CEBPB+OSR2,operator,47.53506851196289
CEBPB+PTPN12,operator,47.535072326660156
CEBPE+ETS2,operator,47.53506851196289
CEBPE+KLF1,operator,47.53506851196289
CEBPE+PTPN12,operator,47.53506851196289
CEBPE+SET,operator,47.535064697265625
CEBPE+SPI1,operator,47.53506851196289
CEBPE+ZC3HAV1,operator,47.535064697265625
CELF2,operator,47.53506851196289
CKS1B,operator,47.535072326660156
CNN1+UBASH3B,operator,47.53506851196289
COL2A1,operator,47.535064697265625
COL2A1+KLF1,operator,47.53506851196289
DLX2+ZBTB10,operator,47.535072326660156
DUSP9,operator,47.53506851196289
DUSP9+ETS2,operator,47.535064697265625
DUSP9+IGDCC3,operator,47.535064697265625
DUSP9+KLF1,operator,47.53506851196289
DUSP9+MAPK1,operator,47.53506851196289
DUSP9+PRTG,operator,47.535064697265625
DUSP9+SNAI1,operator,47.535064697265625
EGR1,operator,47.535064697265625
ELMSAN1+MAP2K3,operator,47.535064697265625
ELMSAN1+MAP2K6,operator,47.535064697265625
ELMSAN1+ZBTB10,operator,47.53506851196289
ETS2+MAP7D1,operator,47.535064697265625
FEV+ISL2,operator,47.53506851196289
FEV+MAP7D1,operator,47.535064697265625
FOSB+PTPN12,operator,47.53506851196289
FOSB+UBASH3B,operator,47.53506851196289
FOXA1+FOXL2,operator,47.53506851196289
FOXA3+FOXF1,operator,47.53506851196289
FOXA3+FOXL2,operator,47.535064697265625
FOXF1+FOXL2,operator,47.53506851196289
FOXL2,operator,47.535064697265625
FOXL2+HOXB9,operator,47.535064697265625
FOXL2+MEIS1,operator,47.53506851196289
FOXL2+POU3F2,operator,47.535064697265625
FOXL2+ZNF318,operator,47.535064697265625
IKZF3+MAP2K3,operator,47.535064697265625
IRF1+SET,operator,47.535064697265625
ISL2,operator,47.535064697265625
KLF1+SET,operator,47.535072326660156
MAP2K6+SPI1,operator,47.53506851196289
MAP7D1,operator,47.535064697265625
NCL,operator,47.535064697265625
OSR2+PTPN12,operator,47.53506851196289
PLK4,operator,47.535064697265625
PLK4+STIL,operator,47.53506851196289
POU3F2,operator,47.535064697265625
PTPN1,operator,47.53506851196289
PTPN12,operator,47.53506851196289
PTPN12+PTPN9,operator,47.535072326660156
PTPN12+SAMD1,operator,47.53506851196289
PTPN12+SNAI1,operator,47.53506851196289
PTPN12+UBASH3A,operator,47.53506851196289
PTPN12+UBASH3B,operator,47.535064697265625
PTPN12+ZBTB10,operator,47.53506851196289
PTPN12+ZBTB25,operator,47.535064697265625
PTPN9+UBASH3B,operator,47.53506851196289
RHOXF2,operator,47.535064697265625
RHOXF2+SET,operator,47.535064697265625
RHOXF2+ZBTB25,operator,47.535064697265625
SAMD1+TGFBR2,operator,47.535064697265625
SET,operator,47.535064697265625
SNAI1+ZBTB10,operator,47.535064697265625
SPI1,operator,47.535064697265625
UBASH3B+ZBTB25,operator,47.535064697265625
AHR+KLF1,additive shift,48.04691696166992
ARID1A,additive shift,45.56716537475586
BAK1+BCL2L11,additive shift,47.82280731201172
BAK1+KLF1,additive shift,47.7111930847168
BCL2L11,additive shift,45.65182876586914
BCL2L11+TGFBR2,additive shift,47.683868408203125
BCORL1,additive shift,45.5947380065918
BPGM,additive shift,45.7111701965332
BPGM+SAMD1,additive shift,48.205142974853516
BPGM+ZBTB1,additive shift,48.031982421875
C3ORF72,additive shift,45.695369720458984
C3ORF72+FOXL2,additive shift,48.07304000854492
CBFA2T3+FEV,additive shift,47.85429000854492
CBFA2T3+POU3F2,additive shift,47.886722564697266
CBL,additive shift,45.61237335205078
CBL+CNN1,additive shift,48.01922607421875
CBL+PTPN12,additive shift,47.937931060791016
CBL+PTPN9,additive shift,47.99639129638672
CBL+TGFBR2,additive shift,47.7477912902832
CBL+UBASH3A,additive shift,48.042728424072266
CBL+UBASH3B,additive shift,47.941680908203125
CDKN1A,additive shift,45.59780502319336
CDKN1A+CDKN1B,additive shift,48.11620330810547
CDKN1A+CDKN1C,additive shift,48.10633850097656
CDKN1B,additive shift,45.59407043457031
CDKN1B+CDKN1C,additive shift,48.12415313720703
CDKN1C,additive shift,45.60538864135742
CEBPA+CEBPB,additive shift,50.47290802001953
CEBPA+CEBPE,additive shift,50.56937026977539
CEBPA+JUN,additive shift,49.258445739746094
CEBPA+ZC3HAV1,additive shift,47.49605178833008
CEBPB,additive shift,45.514102935791016
CEBPB+CEBPE,additive shift,49.632110595703125
CEBPB+FOSB,additive shift,49.116458892822266
CEBPB+JUN,additive shift,48.84862518310547
CEBPB+LYL1,additive shift,48.03364562988281
CEBPB+MAPK1,additive shift,48.474945068359375
CEBPB+OSR2,additive shift,48.16365051269531
CEBPB+PTPN12,additive shift,48.157981872558594
CEBPE+ETS2,additive shift,48.66200637817383
CEBPE+KLF1,additive shift,47.7983283996582
CEBPE+PTPN12,additive shift,48.09492492675781
CEBPE+SET,additive shift,48.37158966064453
CEBPE+SPI1,additive shift,48.392242431640625
CEBPE+ZC3HAV1,additive shift,47.504642486572266
CELF2,additive shift,45.641998291015625
CKS1B,additive shift,45.67738342285156
CNN1+UBASH3B,additive shift,48.056434631347656
COL2A1,additive shift,45.62834548950195
COL2A1+KLF1,additive shift,47.73725509643555
DLX2+ZBTB10,additive shift,48.177223205566406
DUSP9,additive shift,45.62255859375
DUSP9+ETS2,additive shift,48.01137924194336
DUSP9+IGDCC3,additive shift,47.974021911621094
DUSP9+KLF1,additive shift,47.753318786621094
DUSP9+MAPK1,additive shift,47.88839340209961
DUSP9+PRTG,additive shift,47.977378845214844
DUSP9+SNAI1,additive shift,48.004608154296875
EGR1,additive shift,45.548213958740234
ELMSAN1+MAP2K3,additive shift,47.71577835083008
ELMSAN1+MAP2K6,additive shift,47.689823150634766
ELMSAN1+ZBTB10,additive shift,47.79246520996094
ETS2+MAP7D1,additive shift,48.02665328979492
FEV+ISL2,additive shift,48.044437408447266
FEV+MAP7D1,additive shift,47.937313079833984
FOSB+PTPN12,additive shift,48.037567138671875
FOSB+UBASH3B,additive shift,47.89287567138672
FOXA1+FOXL2,additive shift,48.79825210571289
FOXA3+FOXF1,additive shift,48.96267318725586
FOXA3+FOXL2,additive shift,48.84729766845703
FOXF1+FOXL2,additive shift,48.320919036865234
FOXL2,additive shift,45.581939697265625
FOXL2+HOXB9,additive shift,48.55412673950195
FOXL2+MEIS1,additive shift,48.19694900512695
FOXL2+POU3F2,additive shift,48.228885650634766
FOXL2+ZNF318,additive shift,47.995304107666016
IKZF3+MAP2K3,additive shift,47.361358642578125
IRF1+SET,additive shift,48.11812210083008
ISL2,additive shift,45.62945556640625
KLF1+SET,additive shift,47.789390563964844
MAP2K6+SPI1,additive shift,47.49152374267578
MAP7D1,additive shift,45.7004508972168
NCL,additive shift,45.660099029541016
OSR2+PTPN12,additive shift,47.867618560791016
PLK4,additive shift,45.66202163696289
PLK4+STIL,additive shift,48.02289581298828
POU3F2,additive shift,45.59996795654297
PTPN1,additive shift,45.64876174926758
PTPN12,additive shift,45.63762283325195
PTPN12+PTPN9,additive shift,47.967350006103516
PTPN12+SAMD1,additive shift,48.30305862426758
PTPN12+SNAI1,additive shift,47.96995544433594
PTPN12+UBASH3A,additive shift,47.9617805480957
PTPN12+UBASH3B,additive shift,47.88862609863281
PTPN12+ZBTB10,additive shift,47.95869445800781
PTPN12+ZBTB25,additive shift,47.9658317565918
PTPN9+UBASH3B,additive shift,48.00703048706055
RHOXF2,additive shift,45.555137634277344
RHOXF2+SET,additive shift,48.22834777832031
RHOXF2+ZBTB25,additive shift,48.24485397338867
SAMD1+TGFBR2,additive shift,47.93217849731445
SET,additive shift,45.59563446044922
SNAI1+ZBTB10,additive shift,48.14506912231445
SPI1,additive shift,45.6066780090332
UBASH3B+ZBTB25,additive shift,47.93711471557617
