pair,split_category,canonical_metric,reversed_metric,decoded_shift
AHR+KLF1,"both genes observed, pair held out",13.911489,13.929561,0.78858757
BAK1+BCL2L11,"both genes observed, pair held out",9.371817,9.374126,0.23044904
BAK1+KLF1,"both genes observed, pair held out",7.889688,7.9851456,0.38534725
BCL2L11+TGFBR2,"both genes observed, pair held out",7.8500004,7.9445047,0.32036558
BPGM+SAMD1,"both genes observed, pair held out",14.644719,14.612069,0.26562896
BPGM+ZBTB1,"both genes observed, pair held out",12.102338,12.099537,0.31217995
C3ORF72+FOXL2,"both genes observed, pair held out",8.807569,8.793064,0.14408728
CBFA2T3+FEV,"both genes observed, pair held out",8.367695,8.284031,0.25608134
CBFA2T3+POU3F2,"both genes observed, pair held out",8.411493,8.365416,0.2883567
CBL+CNN1,"both genes observed, pair held out",10.695644,10.675936,0.2964751
CBL+PTPN12,"both genes observed, pair held out",10.137854,10.1261635,0.09228564
CBL+PTPN9,"both genes observed, pair held out",10.041768,10.035355,0.24552043
CBL+TGFBR2,"both genes observed, pair held out",8.084962,8.17538,0.34004804
CBL+UBASH3A,"both genes observed, pair held out",10.482861,10.453157,0.19793646
CBL+UBASH3B,"both genes observed, pair held out",8.834983,8.880293,0.25032982
CDKN1A+CDKN1B,"both genes observed, pair held out",10.652029,10.641972,0.060340058
CDKN1A+CDKN1C,"both genes observed, pair held out",10.173443,10.165968,0.09146876
CDKN1B+CDKN1C,"both genes observed, pair held out",11.037186,11.039968,0.089668
CEBPA+CEBPB,"both genes observed, pair held out",23.52745,23.403805,0.3635215
CEBPA+CEBPE,"both genes observed, pair held out",23.17474,23.247454,0.9742487
CEBPA+JUN,"both genes observed, pair held out",19.829266,19.570982,1.4039787
CEBPA+ZC3HAV1,"both genes observed, pair held out",14.607665,14.54352,1.3625251
CEBPB+CEBPE,"both genes observed, pair held out",18.236362,18.365784,0.57862693
CEBPB+FOSB,"both genes observed, pair held out",16.487904,16.406738,0.5163318
CEBPB+JUN,"both genes observed, pair held out",14.6398325,14.594833,0.87680745
CEBPB+LYL1,"both genes observed, pair held out",13.526213,13.533875,0.9608511
CEBPB+MAPK1,"both genes observed, pair held out",13.996834,14.067176,0.67729163
CEBPB+OSR2,"both genes observed, pair held out",11.19006,11.037114,0.56611836
CEBPB+PTPN12,"both genes observed, pair held out",13.7839155,13.641785,0.53817403
CEBPE+ETS2,"both genes observed, pair held out",16.795494,16.579441,0.7636663
CEBPE+KLF1,"both genes observed, pair held out",13.796358,13.670975,0.8696087
CEBPE+PTPN12,"both genes observed, pair held out",14.494274,14.276335,0.5611435
CEBPE+SET,"both genes observed, pair held out",15.077029,14.848886,0.57405484
CEBPE+SPI1,"both genes observed, pair held out",12.650072,12.473212,0.5218221
CEBPE+ZC3HAV1,"both genes observed, pair held out",12.233931,12.226949,0.9882402
CNN1+UBASH3B,"both genes observed, pair held out",11.245424,11.298797,0.47746095
COL2A1+KLF1,"both genes observed, pair held out",8.584027,8.647682,0.4705203
DLX2+ZBTB10,"both genes observed, pair held out",9.750763,9.548418,0.7056832
DUSP9+ETS2,"both genes observed, pair held out",11.356442,11.387086,0.3315849
DUSP9+IGDCC3,"both genes observed, pair held out",10.8176155,10.938465,0.33099532
DUSP9+KLF1,"both genes observed, pair held out",6.929284,7.0047283,0.31642875
DUSP9+MAPK1,"both genes observed, pair held out",10.679345,10.770876,0.38868362
DUSP9+PRTG,"both genes observed, pair held out",10.247546,10.408233,0.37939152
DUSP9+SNAI1,"both genes observed, pair held out",7.962575,8.067805,0.37701985
ELMSAN1+MAP2K3,"both genes observed, pair held out",8.285558,8.329783,0.49487954
ELMSAN1+MAP2K6,"both genes observed, pair held out",7.7434983,7.8174562,0.34064406
ELMSAN1+ZBTB10,"both genes observed, pair held out",8.186353,8.122491,0.4413743
ETS2+MAP7D1,"both genes observed, pair held out",11.780661,11.747456,0.25113472
FEV+ISL2,"both genes observed, pair held out",10.803634,10.787343,0.074153386
FEV+MAP7D1,"both genes observed, pair held out",10.448333,10.432504,0.12583464
FOSB+PTPN12,"both genes observed, pair held out",12.593596,12.532363,0.37496844
FOSB+UBASH3B,"both genes observed, pair held out",12.006733,12.015837,0.6022633
FOXA1+FOXL2,"both genes observed, pair held out",14.808488,14.872718,0.35028335
FOXA3+FOXF1,"both genes observed, pair held out",16.266058,16.331694,0.5568747
FOXA3+FOXL2,"both genes observed, pair held out",14.172764,14.184109,0.35275307
FOXF1+FOXL2,"both genes observed, pair held out",10.069945,10.022637,0.33535296
FOXL2+HOXB9,"both genes observed, pair held out",11.968897,12.041019,0.3887167
FOXL2+MEIS1,"both genes observed, pair held out",10.162888,10.190369,0.33750135
FOXL2+POU3F2,"both genes observed, pair held out",9.596856,9.621132,0.115441516
FOXL2+ZNF318,"both genes observed, pair held out",10.134588,10.186838,0.37028593
IKZF3+MAP2K3,"both genes observed, pair held out",11.656435,11.755324,0.9495664
IRF1+SET,"both genes observed, pair held out",11.483844,11.183878,0.6970803
KLF1+SET,"both genes observed, pair held out",8.399143,8.288971,0.41252536
MAP2K6+SPI1,"both genes observed, pair held out",6.475794,6.4547377,0.31337184
OSR2+PTPN12,"both genes observed, pair held out",8.824103,8.828111,0.10738566
PLK4+STIL,"both genes observed, pair held out",8.555923,8.586238,0.20412251
PTPN12+PTPN9,"both genes observed, pair held out",10.087822,10.088413,0.15246283
PTPN12+SAMD1,"both genes observed, pair held out",14.034328,14.051991,0.41530937
