pair,gene_p,gene_q,split_category,method,metric,value,seed
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.7164338829834728,0
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",additive,top_DE_Pearson,0.42293788868076987,0
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",linear,top_DE_Pearson,0.49186922958826085,0
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.6076704241900371,0
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.5610254444593851,0
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.5889919305497426,0
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",mean,top_DE_Pearson,0.40881736434558513,0
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.7127638784917696,1
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",additive,top_DE_Pearson,0.586667516125737,1
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",linear,top_DE_Pearson,0.5739618418536729,1
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.6676344724180819,1
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.6080505605351227,1
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.5384424522270057,1
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",mean,top_DE_Pearson,0.4821250470449499,1
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.60246704395026,2
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",additive,top_DE_Pearson,0.5927070180784364,2
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",linear,top_DE_Pearson,0.5670044453408247,2
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.5889082581872843,2
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.5391442273357635,2
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.6633524803204418,2
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",mean,top_DE_Pearson,0.45072823107587184,2
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.6343003306702135,3
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",additive,top_DE_Pearson,0.5188719869707062,3
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",linear,top_DE_Pearson,0.6019385511332008,3
