pair,rank_type,epsilon,measured_epistasis,pathway_note
CEBPA+JUN,top,0.3941466808319092,19.655832,
CEBPA+ZC3HAV1,top,0.28004902601242065,14.563843,
CEBPB+JUN,top,0.2525911331176758,14.69095,
AHR+KLF1,top,0.22690898180007935,13.892037,
CEBPE+KLF1,top,0.2225692719221115,13.612081,
CEBPB+LYL1,top,0.21559107303619385,13.494778,
IKZF3+MAP2K3,top,0.20116941630840302,11.73236,
CEBPB+MAPK1,top,0.1973898857831955,14.096841,
CEBPE+ZC3HAV1,top,0.19525277614593506,12.192591,
CEBPA+CEBPE,top,0.18796180188655853,23.519466,
CDKN1A+CDKN1B,bottom,0.013908150605857372,10.789995,
CDKN1B+CDKN1C,bottom,0.016599033027887344,11.179358,
FEV+ISL2,bottom,0.018629534170031548,10.76942,
CDKN1A+CDKN1C,bottom,0.020722771063447,10.310867,
CBL+PTPN12,bottom,0.021250441670417786,10.17763,
OSR2+PTPN12,bottom,0.021279213950037956,8.843962,
PTPN12+ZBTB10,bottom,0.027081646025180817,7.6933584,
PTPN12+ZBTB25,bottom,0.02819182723760605,10.462493,
FEV+MAP7D1,bottom,0.02825414575636387,10.401684,
FOXL2+POU3F2,bottom,0.03345220535993576,9.717973,
