gene,dataset,method,metric,value,seed
CEBPA,Norman,OpPert,top_DE_Pearson,0.4818109162042905,0
CEBPA,Norman,descriptor-only,top_DE_Pearson,0.4694079030570366,0
CEBPA,Norman,linear,top_DE_Pearson,0.3776169604258815,0
CEBPA,Norman,GEARS,top_DE_Pearson,0.461288290314534,0
CEBPA,Norman,mean,top_DE_Pearson,0.21085805062874294,0
CEBPA,Norman,OpPert,top_DE_Pearson,0.5544252812476854,1
CEBPA,Norman,descriptor-only,top_DE_Pearson,0.4199871084746243,1
CEBPA,Norman,linear,top_DE_Pearson,0.37071659536408885,1
CEBPA,Norman,GEARS,top_DE_Pearson,0.5551365641784435,1
CEBPA,Norman,mean,top_DE_Pearson,0.26153998609690365,1
CEBPA,Norman,OpPert,top_DE_Pearson,0.587816621401693,2
CEBPA,Norman,descriptor-only,top_DE_Pearson,0.4079375505607318,2
CEBPA,Norman,linear,top_DE_Pearson,0.5560942826737256,2
CEBPA,Norman,GEARS,top_DE_Pearson,0.5349730323355688,2
CEBPA,Norman,mean,top_DE_Pearson,0.2795171277475583,2
CEBPA,Norman,OpPert,top_DE_Pearson,0.4849750468673817,3
CEBPA,Norman,descriptor-only,top_DE_Pearson,0.4863315123134586,3
CEBPA,Norman,linear,top_DE_Pearson,0.44425731215739,3
CEBPA,Norman,GEARS,top_DE_Pearson,0.47983944957871805,3
CEBPA,Norman,mean,top_DE_Pearson,0.4163343317063259,3
CEBPA,Norman,OpPert,top_DE_Pearson,0.49507866759780267,4
CEBPA,Norman,descriptor-only,top_DE_Pearson,0.4554776263305273,4
CEBPA,Norman,linear,top_DE_Pearson,0.5172776676191384,4
CEBPA,Norman,GEARS,top_DE_Pearson,0.538547049303136,4
CEBPA,Norman,mean,top_DE_Pearson,0.33042323994875966,4
CEBPE,Norman,OpPert,top_DE_Pearson,0.5226656471488406,0
CEBPE,Norman,descriptor-only,top_DE_Pearson,0.3456710722487441,0
CEBPE,Norman,linear,top_DE_Pearson,0.39662530044008826,0
CEBPE,Norman,GEARS,top_DE_Pearson,0.5091015535944841,0
CEBPE,Norman,mean,top_DE_Pearson,0.33172706866346585,0
CEBPE,Norman,OpPert,top_DE_Pearson,0.5444956247139736,1
CEBPE,Norman,descriptor-only,top_DE_Pearson,0.5123552165780436,1
CEBPE,Norman,linear,top_DE_Pearson,0.38876061345626356,1
CEBPE,Norman,GEARS,top_DE_Pearson,0.475829181866041,1
CEBPE,Norman,mean,top_DE_Pearson,0.3513226578046731,1
CEBPE,Norman,OpPert,top_DE_Pearson,0.4977504037455291,2
CEBPE,Norman,descriptor-only,top_DE_Pearson,0.535888626835645,2
CEBPE,Norman,linear,top_DE_Pearson,0.5145152080967889,2
CEBPE,Norman,GEARS,top_DE_Pearson,0.5074079996253253,2
CEBPE,Norman,mean,top_DE_Pearson,0.4476539067597152,2
CEBPE,Norman,OpPert,top_DE_Pearson,0.4500662832233915,3
CEBPE,Norman,descriptor-only,top_DE_Pearson,0.4495364231336591,3
CEBPE,Norman,linear,top_DE_Pearson,0.4819802181360437,3
CEBPE,Norman,GEARS,top_DE_Pearson,0.4351266971923647,3
CEBPE,Norman,mean,top_DE_Pearson,0.35804287250906375,3
CEBPE,Norman,OpPert,top_DE_Pearson,0.4736050503727274,4
CEBPE,Norman,descriptor-only,top_DE_Pearson,0.4914334390964552,4
CEBPE,Norman,linear,top_DE_Pearson,0.5234700860877344,4
CEBPE,Norman,GEARS,top_DE_Pearson,0.5063400040676997,4
CEBPE,Norman,mean,top_DE_Pearson,0.2288321310961033,4
CDKN1A,Norman,OpPert,top_DE_Pearson,0.48199238873003797,0
CDKN1A,Norman,descriptor-only,top_DE_Pearson,0.48388260019278967,0
CDKN1A,Norman,linear,top_DE_Pearson,0.46127191861074196,0
CDKN1A,Norman,GEARS,top_DE_Pearson,0.3283598429384507,0
CDKN1A,Norman,mean,top_DE_Pearson,0.41456982303209444,0
CDKN1A,Norman,OpPert,top_DE_Pearson,0.54819939037523,1
CDKN1A,Norman,descriptor-only,top_DE_Pearson,0.4008555201599973,1
CDKN1A,Norman,linear,top_DE_Pearson,0.5196973358539999,1
CDKN1A,Norman,GEARS,top_DE_Pearson,0.44934759922558604,1
CDKN1A,Norman,mean,top_DE_Pearson,0.29869287294374713,1
CDKN1A,Norman,OpPert,top_DE_Pearson,0.5615011590608422,2
CDKN1A,Norman,descriptor-only,top_DE_Pearson,0.5568623075545377,2
CDKN1A,Norman,linear,top_DE_Pearson,0.5574152306783732,2
