canonical_truth,method,n_perts,n_genes,DA200,DA50,DA20,Cos200,Cos_all,Pearson20,MSE20,DEGrecall20
PB_canonical,norman19_cpa,24,2382,1.0000,1.0000,1.0000,0.9978,0.9946,0.9776,0.0206,0.9667
PB_canonical,norman19_decoder,24,2382,1.0000,1.0000,1.0000,0.9985,0.9962,0.9824,0.0149,0.9667
PB_canonical,norman19_latent,24,2382,1.0000,1.0000,1.0000,0.9985,0.9964,0.9845,0.0135,0.9708
PB_canonical,norman19_linear,24,2382,1.0000,1.0000,1.0000,0.9983,0.9946,0.9769,0.0174,0.9750
PB_canonical,norman19_sams,24,2382,0.9998,1.0000,1.0000,0.9934,0.9864,0.9112,0.1144,0.9479
PB_canonical,norman19_sams_modified,24,2382,1.0000,1.0000,1.0000,0.9978,0.9943,0.9612,0.0283,0.9625
PB_canonical,OpPert_norman_s1,24,2382,0.7642,0.6792,0.5146,0.3282,0.3046,-0.5017,19.2889,0.1167
PB_canonical,OpPert_norman_s2,24,2382,0.7750,0.6742,0.4896,0.3651,0.3420,-0.5157,19.4730,0.1146
PB_canonical,OpPert_norman_s3,24,2382,0.7750,0.6917,0.5146,0.3686,0.3395,-0.5350,19.2285,0.1167
OpPert_canonical,norman19_cpa,24,2382,0.7138,0.6000,0.4750,0.3679,0.3177,0.3882,3.7467,0.0771
OpPert_canonical,norman19_decoder,24,2382,0.7298,0.6333,0.5250,0.3844,0.3273,0.4126,3.6993,0.0729
OpPert_canonical,norman19_latent,24,2382,0.7258,0.6317,0.5250,0.3849,0.3273,0.4155,3.6264,0.0771
OpPert_canonical,norman19_linear,24,2382,0.7485,0.6692,0.5833,0.4001,0.3348,0.4359,3.5159,0.0813
OpPert_canonical,norman19_sams,24,2382,0.6875,0.5608,0.4104,0.3434,0.3063,0.3167,3.9385,0.0708
OpPert_canonical,norman19_sams_modified,24,2382,0.7431,0.6533,0.5583,0.4143,0.3486,0.4606,3.5701,0.0792
OpPert_canonical,OpPert_norman_s1,24,2382,0.8665,0.8600,0.8521,0.7176,0.6273,0.6408,0.2787,0.3646
OpPert_canonical,OpPert_norman_s2,24,2382,0.8756,0.8733,0.8688,0.7303,0.6403,0.6644,0.2980,0.3729
OpPert_canonical,OpPert_norman_s3,24,2382,0.8796,0.8733,0.8708,0.7427,0.6485,0.6847,0.2613,0.3813
