method,method_pretty,pert,method_family,DA200_PB,DA200_OpPert,DA200_PSI,DA200_min,DA200_max,DA50_PB,DA50_OpPert,DA50_PSI,DA50_min,DA50_max,DA20_PB,DA20_OpPert,DA20_PSI,DA20_min,DA20_max,Cos200_PB,Cos200_OpPert,Cos200_PSI,Cos200_min,Cos200_max,Cos_all_PB,Cos_all_OpPert,Cos_all_PSI,Cos_all_min,Cos_all_max,Pearson20_PB,Pearson20_OpPert,Pearson20_PSI,Pearson20_min,Pearson20_max,DEGrecall20_PB,DEGrecall20_OpPert,DEGrecall20_PSI,DEGrecall20_min,DEGrecall20_max,MSE20_PB,MSE20_OpPert,MSE20_PSI,MSE20_min,MSE20_max
OpPert_norman_s1,OpPert s1,AHR+KLF1,OpPert,0.7,0.65,0.04999999999999993,0.65,0.7,0.72,0.82,0.09999999999999998,0.72,0.82,0.75,0.85,0.09999999999999998,0.75,0.85,0.15701037009834268,0.6155774834004378,0.45856711330209515,0.15701037009834268,0.6155774834004378,0.14462126508223744,0.4370381592316217,0.29241689414938427,0.14462126508223744,0.4370381592316217,-0.47313934538773544,0.6495916011557641,1.1227309465434996,-0.47313934538773544,0.6495916011557641,0.1,0.35,0.24999999999999997,0.1,0.35,18.69239044189453,0.38453084230422974,18.3078595995903,0.38453084230422974,18.69239044189453
OpPert_norman_s1,OpPert s1,BAK1+BCL2L11,OpPert,0.65,0.405,0.245,0.405,0.65,0.54,0.44,0.10000000000000003,0.44,0.54,0.5,0.45,0.04999999999999999,0.45,0.5,-0.010618109061029246,-0.06727914870236507,0.05666103964133582,-0.06727914870236507,-0.010618109061029246,0.05844285746664568,-0.06268655663238987,0.12112941409903555,-0.06268655663238987,0.05844285746664568,-0.34180394072882825,0.16294109242109175,0.50474503314992,-0.34180394072882825,0.16294109242109175,0.1,0.15,0.04999999999999999,0.1,0.15,19.63058090209961,0.1266520470380783,19.50392885506153,0.1266520470380783,19.63058090209961
OpPert_norman_s1,OpPert s1,BPGM+SAMD1,OpPert,0.785,0.98,0.19499999999999995,0.785,0.98,0.72,0.98,0.26,0.72,0.98,0.55,1.0,0.44999999999999996,0.55,1.0,0.364659375855774,0.896669502178696,0.532010126322922,0.364659375855774,0.896669502178696,0.3183642415174672,0.7866502479858641,0.46828600646839696,0.3183642415174672,0.7866502479858641,-0.6832441158551147,0.853532542857148,1.5367766587122627,-0.6832441158551147,0.853532542857148,0.1,0.5,0.4,0.1,0.5,19.853588104248047,0.2244936227798462,19.6290944814682,0.2244936227798462,19.853588104248047
OpPert_norman_s1,OpPert s1,CBFA2T3+FEV,OpPert,0.795,0.89,0.09499999999999997,0.795,0.89,0.74,0.84,0.09999999999999998,0.74,0.84,0.4,0.8,0.4,0.4,0.8,0.4056200607751782,0.7421434910642642,0.33652343028908605,0.4056200607751782,0.7421434910642642,0.36053427756609174,0.6128676360813275,0.2523333585152358,0.36053427756609174,0.6128676360813275,-0.32759729931354303,0.5496752332046148,0.8772725325181578,-0.32759729931354303,0.5496752332046148,0.1,0.3,0.19999999999999998,0.1,0.3,19.82793617248535,0.6366581320762634,19.191278040409088,0.6366581320762634,19.82793617248535
OpPert_norman_s1,OpPert s1,CBFA2T3+POU3F2,OpPert,0.795,0.98,0.18499999999999994,0.795,0.98,0.74,0.96,0.21999999999999997,0.74,0.96,0.55,1.0,0.44999999999999996,0.55,1.0,0.3529145452300861,0.8774487341617784,0.5245341889316923,0.3529145452300861,0.8774487341617784,0.32564400108765224,0.7661285052438345,0.44048450415618223,0.32564400108765224,0.7661285052438345,-0.20244441761504103,0.9279080549254515,1.1303524725404925,-0.20244441761504103,0.9279080549254515,0.15,0.45,0.30000000000000004,0.15,0.45,19.610023498535156,0.11472219228744507,19.49530130624771,0.11472219228744507,19.610023498535156
OpPert_norman_s1,OpPert s1,CBL+CNN1,OpPert,0.785,0.955,0.16999999999999993,0.785,0.955,0.68,0.98,0.29999999999999993,0.68,0.98,0.45,1.0,0.55,0.45,1.0,0.4045993228418782,0.8765441155521223,0.4719447927102441,0.4045993228418782,0.8765441155521223,0.33957498774035266,0.7813979481040442,0.4418229603636915,0.33957498774035266,0.7813979481040442,-0.6579063174269354,0.849700293981226,1.5076066114081614,-0.6579063174269354,0.849700293981226,0.1,0.45,0.35,0.1,0.45,19.124475479125977,0.27377235889434814,18.85070312023163,0.27377235889434814,19.124475479125977
OpPert_norman_s1,OpPert s1,CBL+PTPN12,OpPert,0.75,0.9,0.15000000000000002,0.75,0.9,0.7,0.86,0.16000000000000003,0.7,0.86,0.5,0.9,0.4,0.5,0.9,0.30887096578461887,0.8060301260377964,0.4971591602531776,0.30887096578461887,0.8060301260377964,0.29461134101767106,0.6853339215875343,0.3907225805698632,0.29461134101767106,0.6853339215875343,-0.7170152663928135,0.8361718004138995,1.553187066806713,-0.7170152663928135,0.8361718004138995,0.1,0.4,0.30000000000000004,0.1,0.4,18.937541961669922,0.16688507795333862,18.770656883716583,0.16688507795333862,18.937541961669922
OpPert_norman_s1,OpPert s1,CBL+TGFBR2,OpPert,0.735,0.905,0.17000000000000004,0.735,0.905,0.6,0.92,0.32000000000000006,0.6,0.92,0.45,0.95,0.49999999999999994,0.45,0.95,0.277045560001152,0.8219922834624087,0.5449467234612567,0.277045560001152,0.8219922834624087,0.26033627790402064,0.6946082583323713,0.43427198042835063,0.26033627790402064,0.6946082583323713,-0.7337568796666437,0.8382987150330345,1.5720555946996781,-0.7337568796666437,0.8382987150330345,0.1,0.45,0.35,0.1,0.45,19.087350845336914,0.11687012016773224,18.970480725169182,0.11687012016773224,19.087350845336914
OpPert_norman_s1,OpPert s1,CDKN1B+CDKN1C,OpPert,0.76,0.965,0.20499999999999996,0.76,0.965,0.64,0.94,0.29999999999999993,0.64,0.94,0.5,1.0,0.5,0.5,1.0,0.29970827468360356,0.8895610114133491,0.5898527367297455,0.29970827468360356,0.8895610114133491,0.29100244939643444,0.7540770174936077,0.46307456809717323,0.29100244939643444,0.7540770174936077,-0.7388435032843103,0.9332641770742958,1.672107680358606,-0.7388435032843103,0.9332641770742958,0.1,0.45,0.35,0.1,0.45,18.918903350830078,0.09315776079893112,18.825745590031147,0.09315776079893112,18.918903350830078
OpPert_norman_s1,OpPert s1,CEBPA+JUN,OpPert,0.89,0.995,0.10499999999999998,0.89,0.995,0.86,1.0,0.14,0.86,1.0,0.7,1.0,0.30000000000000004,0.7,1.0,0.6891197931240595,0.943806338207769,0.2546865450837096,0.6891197931240595,0.943806338207769,0.5754193580490651,0.8928844235010116,0.3174650654519465,0.5754193580490651,0.8928844235010116,-0.4998345478920571,0.9800305498177759,1.479865097709833,-0.4998345478920571,0.9800305498177759,0.0,0.5,0.5,0.0,0.5,17.084463119506836,0.18316568434238434,16.90129743516445,0.18316568434238434,17.084463119506836
