method,dataset,rho,rho_DEG,DA_DEG
AvgKnown,Norman,39.64,58.98,61.94
Linear,Norman,37.68,55.54,61.94
Linear-scGPT,Norman,39.20,58.66,61.94
CellOracle,Norman,9.80,12.48,16.35
samsVAE,Norman,12.48,32.05,49.63
GraphVCI,Norman,12.02,30.66,33.95
scFoundation,Norman,60.79,65.65,62.26
scGPT,Norman,61.48,65.87,74.43
GEARS,Norman,45.30,63.19,69.06
PRESCRIBE,Norman,58.38,64.44,74.68
AvgKnown,K562,36.86,46.11,56.14
Linear,K562,25.70,32.42,52.36
Linear-scGPT,K562,33.86,42.97,54.37
CellOracle,K562,4.44,5.89,41.15
samsVAE,K562,8.51,29.03,43.55
GraphVCI,K562,9.73,28.91,43.55
scFoundation,K562,25.15,47.30,57.32
scGPT,K562,32.72,43.15,57.32
GEARS,K562,32.57,42.68,56.14
PRESCRIBE,K562,36.20,44.36,69.69
AvgKnown,RPE1,54.53,57.89,32.33
Linear,RPE1,38.01,40.70,30.15
Linear-scGPT,RPE1,50.09,53.95,31.31
CellOracle,RPE1,39.91,7.40,23.70
samsVAE,RPE1,12.59,36.45,25.08
GraphVCI,RPE1,14.39,36.30,25.08
scFoundation,RPE1,47.60,59.46,43.96
scGPT,RPE1,50.32,65.54,67.07
GEARS,RPE1,48.18,53.59,32.33
PRESCRIBE,RPE1,59.18,65.50,79.81
OpPert,Norman,62.79,68.77,87.33
OpPert,K562,33.60,55.47,81.57
OpPert,RPE1,57.41,68.96,87.77
